Register Name,Register Description,Register Address,Register Width,Field Name,Field Description,Field Offset,Field Width,Field Reset Value,Field Access,Field Hw Access,Field Condition,Field Action,Field Logic Comment,Field is Covered,Field Backdoor,Field is Reserved,Field is Volatile,Field Constraints,Field Parameter Name,Field Parameter Value,Field Parameter Description
uci,User Command Interface,0x00C,32,cmd_op,User Command Opcode,0,4,0,RW,RO,,,,TRUE,uci_cmd_op,,,,,,
uci,0,0x00C,32,cmd_rank,User Command Rank Index (In a channel),4,1,0,RW,RO,,,,TRUE,uci_cmd_rank,,,,,,
uci,0,0x00C,32,cmd_all_rank,User Command All Rank Select,5,1,0,RW,RO,,,,TRUE,uci_cmd_all_rank,,,,,,
uci,0,0x00C,32,mr_sel,Register Select Argument for MRS/MRW/MRR Command,6,6,0,RW,RO,,,,TRUE,uci_mr_sel,,,,,,
uci,0,0x00C,32,mrs_last,Last MRS Command,12,1,0,RW,RO,,,,TRUE,uci_mrs_last,,,,,,
uci,0,0x00C,32,rfu,Reserved for Future Use,13,19,0,,,,,,,,TRUE,,,,,
dmctl,Dynamo Control Register,0x100,32,ddrt,"DDR Type
001: DDR3
010: DDR2",0,3,0,RW,RO,,,,TRUE,dmctl_ddrt,,,,,,
dmctl,0,0x100,32,dfi_freq_ratio,"DFI Frequency Ratio
2 bits register. 2'b00 - 1:1, 2'b01 - 1:2, 2'b10 - 1:4, 2'b11 - Reserved",3,2,0,RW,RO,,,,TRUE,dmctl_dfi_freq_ratio,,,,,,
dmctl,0,0x100,32,dram_bank_en,"Bank Controller Enable
2 bits register. 2'b01 - 4, 2'b11 - 8, Others - Reserved",5,3,0,RW,RO,,,,TRUE,dmctl_dram_bank_en,,,,,,
dmctl,0,0x100,32,dram_rank_en,Rank enable. Each bit corresponds to a rank,8,2,0,RW,RO,,,,TRUE,dmctl_dram_rank_en,,,,,,
dmctl,0,0x100,32,switch_close,Force close Opening Page when Direction changes,10,1,0,RW,RO,,,,TRUE,dmctl_switch_close,,,,,,
dmctl,0,0x100,32,bank_policy,"1: Open page policy, 0: Close Page Policy",11,1,0,RW,RO,,,,TRUE,dmctl_bank_policy,,,,,,
dmctl,0,0x100,32,rfu,Reserved for Future Use,12,20,0,,,,,,,,TRUE,,,,,
dmcfg,Dynamo Configuration Register,0x104,32,auto_srx_zqcl,"Automatically Follow SRX with ZQCL
DDR3 - Only. For DDR2, it should be programmed 0",0,1,0,RW,RO,,,,TRUE,dmcfg_auto_srx_zqcl,,,,,,
dmcfg,0,0x104,32,ref_post_pull_en,Enables Postpone/Pull Automatic Refresh,1,1,0,RW,RO,,,,TRUE,dmcfg_ref_post_pull_en,,,,,,
dmcfg,0,0x104,32,ref_int_en,Enable Rank Interleaving Refresh,2,1,0,RW,RO,,,,TRUE,dmcfg_ref_int_en,,,,,,
dmcfg,0,0x104,32,int_gc_fsm_en,Global FSM Error interrupt enable signal. 0: Disable (Default). 1: Enable,3,1,0,RW,RO,,,,TRUE,dmcfg_int_gc_fsm_en,,,,,,
dmcfg,0,0x104,32,int_gc_fsm_clr,Global FSM Error interrupt clear signal. 0: Disable (Default). 1: Clear. Set int_gc_fsm LOW.,4,1,0,RW,RO,,,,TRUE,dmcfg_int_gc_fsm_clr,,,,,,
dmcfg,0,0x104,32,req_th,Look-ahead buffer request threshold,5,3,0,RW,RO,,,,TRUE,dmcfg_req_th,,,,,,
dmcfg,0,0x104,32,zq_auto_en,Automatic ZQ Calibration,8,1,0,RW,RO,,,,TRUE,dmcfg_zq_auto_en,,,,,,
dmcfg,0,0x104,32,dual_rank,Denotes Dual-rank DIMMs (channel x  DIMMS),9,1,0,RW,RO,,,,TRUE,dmcfg_dual_rank,,,,,,
dmcfg,0,0x104,32,rfu,Reserved for Future Use,10,22,0,,,,,,,,TRUE,,,,,
mr0,DRAM Mode Register 0,0x108,32,ppd,DLL control for precharge  PD,0,1,0,RW,RO,,,,TRUE,mr0_ppd,,,,,,
mr0,0,0x108,32,wr,Write recovery,1,3,0,RW,RO,,,,TRUE,mr0_wr,,,,,,
mr0,0,0x108,32,dllrst,DLL reset,4,1,0,RW,RO,,,,TRUE,mr0_dllrst,,,,,,
mr0,0,0x108,32,tm,"Mode (0-normal, 1-test)",5,1,0,RW,RO,,,,TRUE,mr0_tm,,,,,,
mr0,0,0x108,32,cl,CAS latency,6,4,0,RW,RO,,,,TRUE,mr0_cl,,,,,,
mr0,0,0x108,32,rbt,Burst type - DDR2; Read Burst Type – DDR3,10,1,0,RW,RO,,,,TRUE,mr0_rbt,,,,,,
mr0,0,0x108,32,bl,"Burst length.
DDR3: 000 = 8 (Fixed), 001 = BC4 or 8 (OTF), 010 = BC4 (Fixed), Others = Reserved.
DDR2: 000 = BL4, 011 = BL8, Others = Reserved",11,3,0,RW,RO,,,,TRUE,mr0_bl,,,,,,
mr0,0,0x108,32,rfu,Reserved for Future Use,14,18,0,,,,,,,,TRUE,,,,,
mr1,DRAM Mode Register 1,0x10C,32,qoff,Output disabled,0,1,0,RW,RO,,,,TRUE,mr1_qoff,,,,,,
mr1,0,0x10C,32,tdqs,"Termination data strobe enable - DDR3
Read data strobe enable – DDR2",1,1,0,RW,RO,,,,TRUE,mr1_tdqs,,,,,,
mr1,0,0x10C,32,wrlvl,Write leveling enable – DDR3,2,1,0,RW,RO,,,,TRUE,mr1_wrlvl,,,,,,
mr1,0,0x10C,32,rttnom,Norminal Termination value (RTT_NORM),3,3,0,RW,RO,,,,TRUE,mr1_rttnom,,,,,,
mr1,0,0x10C,32,dic,Output driver impedance control,6,2,0,RW,RO,,,,TRUE,mr1_dic,,,,,,
mr1,0,0x10C,32,dllen,DLL enable,8,1,0,RW,RO,,,,TRUE,mr1_dllen,,,,,,
mr1,0,0x10C,32,al,Additive latency,9,3,0,RW,RO,,,,TRUE,mr1_al,,,,,,
mr1,0,0x10C,32,dqs,Inverse DQS enable - DDR2,12,1,0,RW,RO,,,,TRUE,mr1_dqs,,,,,,
mr1,0,0x10C,32,ocd,OCD calibration program - DDR2,13,3,0,RW,RO,,,,TRUE,mr1_ocd,,,,,,
mr1,0,0x10C,32,rfu,Reserved for Future Use,16,16,0,,,,,,,,TRUE,,,,,
mr2,DRAM Mode Register 2,0x110,32,rttwr,Dynamic ODT setting,0,2,0,RW,RO,,,,TRUE,mr2_rttwr,,,,,,
mr2,0,0x110,32,srt,Self refresh temperature range,2,1,0,RW,RO,,,,TRUE,mr2_srt,,,,,,
mr2,0,0x110,32,lasr,Auto Self-refresh enable - DDR3,3,2,0,RW,RO,,,,TRUE,mr2_lasr,,,,,,
mr2,0,0x110,32,cwl,CAS write latency,5,3,0,RW,RO,,,,TRUE,mr2_cwl,,,,,,
mr2,0,0x110,32,pasr,Partial array self-refresh,8,3,0,RW,RO,,,,TRUE,mr2_pasr,,,,,,
mr2,0,0x110,32,srf,High temperature self-refresh rate enable - DDR2,11,1,0,RW,RO,,,,TRUE,mr2_srf,,,,,,
mr2,0,0x110,32,dcc,Duty cycle corrector enable - DDR2,12,1,0,RW,RO,,,,TRUE,mr2_dcc,,,,,,
mr2,0,0x110,32,rfu,Reserved for Future Use,13,19,0,,,,,,,,TRUE,,,,,
mr3,DRAM Mode Register 3,0x114,32,mpro,Multi-purpose register access enable,0,1,0,RW,RO,,,,TRUE,mr3_mpro,,,,,,
mr3,0,0x114,32,mprp,Multi-purpose register location,1,2,0,RW,RO,,,,TRUE,mr3_mprp,,,,,,
mr3,0,0x114,32,rfu,Reserved for Future Use,3,29,0,,,,,,,,TRUE,,,,,
rtcfg0,Route Configuration 0,0x118,32,ext_pri,Selects whether to use external AXI QoS field or internal combination of static and dynamic priority,0,1,0,RW,RO,,,,TRUE,rtcfg0_ext_pri,,,,,,
rtcfg0,0,0x118,32,max_pri,Denotes Static Maximum Priority,1,1,0,RW,RO,,,,TRUE,rtcfg0_max_pri,,,,,,
rtcfg0,0,0x118,32,arq_lvl_hi,Denotes Read Address Queue High Priority Threshold,2,4,0xf,RW,RO,,,,TRUE,rtcfg0_arq_lvl_hi,,,,,,
rtcfg0,0,0x118,32,arq_lvl_lo,Denotes Read Address Queue Low Priority Threshold,6,4,0,RW,RO,,,,TRUE,rtcfg0_arq_lvl_lo,,,,,,
rtcfg0,0,0x118,32,awq_lvl_hi,Denotes Write Address Queue High Priority Threshold,10,4,0xf,RW,RO,,,,TRUE,rtcfg0_awq_lvl_hi,,,,,,
rtcfg0,0,0x118,32,awq_lvl_lo,Denotes Write Address Queue Low Priority Threshold,14,4,0,RW,RO,,,,TRUE,rtcfg0_awq_lvl_lo,,,,,,
rtcfg0,0,0x118,32,arq_lat_barrier_en,Maximum Latency Barrier Enable for Read Channel,18,1,0,RW,RO,,,,TRUE,rtcfg0_arq_lat_barrier_en,,,,,,
rtcfg0,0,0x118,32,awq_lat_barrier_en,Maximum Latency Barrier Enable for Write Channel,19,1,0,RW,RO,,,,TRUE,rtcfg0_awq_lat_barrier_en,,,,,,
rtcfg0,0,0x118,32,arq_ooo_en,Out of order enable for read channel,20,1,0,RW,RO,,,,TRUE,rtcfg0_arq_ooo_en,,,,,,
rtcfg0,0,0x118,32,awq_ooo_en,Out of order enable for write channel,21,1,0,RW,RO,,,,TRUE,rtcfg0_awq_ooo_en,,,,,,
rtcfg0,0,0x118,32,acq_realtime_en,Realtime priority enable for Read/Write channel,22,1,0,RW,RO,,,,TRUE,rtcfg0_acq_realtime_en,,,,,,
